"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"The Palm Bank",NA,"FL","Florida","NM",116846000,57456,3167883,"the palm bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Pacific City Bank","Pacific City Financial Corporation","CA","California","NM",1286432000,57463,3212402,"pacific city bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Commerce Bank","First Commerce Bancorp, Inc.","TN","Tennessee","NM",347434000,57465,3153297,"first commerce bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Rivergreen Bank",NA,"ME","Maine","NM",97935000,57467,3177127,"rivergreen bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community Bank Owatonna","Community Financial Corporation","MN","Minnesota","NM",51976000,57468,3139321,"community bank owatonna",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Choice Bank",NA,"AZ","Arizona","NM",287610000,57469,3161993,"choice bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Members Trust Company",NA,"FL","Florida","SA",34623000,57470,3219269,"members trust company",FALSE,"Did not comment",915546343.628809,95742500,849658148.500577,128373500
"Hudson River Commercial Bank",NA,"NY","New York","NM",36994000,57474,3151060,"hudson river commercial bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Connecticut River Community Bank",NA,"CT","Connecticut","NM",165635000,57475,3151837,"connecticut river community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Independent Bank of Texas",NA,"TX","Texas","SM",114356000,57476,3129902,"independent bank of texas",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Eagle Community Bank","Eagle Community Bancshares, Inc.","MN","Minnesota","NM",23486000,57477,3133570,"eagle community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Affinity Bank of Pennsylvania",NA,"PA","Pennsylvania","NM",174717000,57478,3179729,"affinity bank of pennsylvania",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Biltmore Bank of Arizona",NA,"AZ","Arizona","NM",287297000,57479,3149012,"the biltmore bank of arizona",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Citizens Bank & Trust","Citizens B & T Holdings, Inc.","AL","Alabama","NM",433196000,57483,3174920,"citizens bank & trust",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Bankers Trust Company",NA,"IA","Iowa","NM",493148000,57484,3142358,"bankers trust company",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Goldman Sachs Bank USA",NA,"UT","Utah","SM",21630286000,57485,3278305,"goldman sachs bank usa",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
